"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",48.8020711678922,-1.50004287068199,0.340231757688638,-4.40888552224671,1.03903926779189e-05,0.000509704355203889
"LOC729737",69.1898019507983,-1.0431783891864,0.285715698387766,-3.65110630977871,0.00026111312162544,0.00464069229797942
"LOC100133331",12.8041975892652,0.032133281964142,0.43039840918232,0.0746593883216006,0.940485720874072,0.968609945251001
"LOC100288069",4.92658164278729,0.898205624256787,1.06420359507603,0.844016716737943,0.398660064316763,0.591626132510276
"LINC00115",4.04909250287221,0.614150354280145,0.987346800409508,0.622020908991068,0.533928119377717,0.707751562369865
"FAM41C",0.0622342135567078,-0.151769062175647,5.19474844250004,-0.0292158636468268,0.976692429273829,NA
"SAMD11",4.83647086288323,-0.716167328993542,1.10823349300856,-0.646224223966863,0.518134153738701,0.695624665704129
"NOC2L",1633.69911418495,-0.13325602514925,0.0970598292905935,-1.37292663837566,0.169775154337793,0.342701131876587
"KLHL17",194.160883942862,-0.560007114271077,0.22873953128986,-2.44823057524513,0.0143559752305188,0.0646067483799988
"PLEKHN1",236.161544243762,-0.457050809447985,0.152494831239314,-2.99715607233089,0.0027251115815481,0.021222983810838
"HES4",474.244360870062,-1.15138621860479,0.316983878315626,-3.63231791068671,0.000280886773458108,0.00485579813569842
"ISG15",5807.51455215721,2.57950887462388,0.506400385256174,5.09381301777443,3.50932886557176e-07,3.82401786384517e-05
"AGRN",5780.89157665728,0.240181534190879,0.168276557803314,1.42730239628273,0.153492750209411,0.321596945828828
"RNF223",27.737560819991,-0.258785352641529,0.45261317540795,-0.571758328529169,0.567485712229396,0.733818294105933
"C1orf159",147.565659897489,-0.610800716282142,0.244296349922021,-2.50024495444614,0.0124107460101858,0.0588194144240319
"MIR200B",0.724029544565771,2.16583264922517,1.75107111098411,1.23686161894817,0.216138461182114,NA
"MIR200A",2.20182595504101,0.0709871984230748,1.14852321156848,0.0618073694184475,0.95071623476317,NA
"MIR429",3.09673655837566,0.544846751754824,1.02083878848491,0.533724578161323,0.593532101872204,0.752476595661183
"TTLL10",0.373315197344579,1.73680178755435,3.09675444115851,0.560845821183226,0.574902646874004,NA
"TNFRSF18",3.91142296327519,0.0773808042026874,0.77800178120205,0.0994609602090245,0.92077228339587,0.95787147041972
"TNFRSF4",0.372059772560396,0.358936188269655,2.17182495974928,0.165269390914032,0.868731950005106,NA
"SDF4",1644.55739826889,-0.127552161443633,0.148058820691999,-0.861496537980499,0.388964627095934,0.582767469019875
"B3GALT6",207.284118768567,-0.666945367222521,0.206854496170287,-3.22422465825193,0.00126314262024891,0.012798946641455
